district_type,"2018→2019
（コロナ前）","2019→2020
（発生年）","2020→2021
（コロナ禍）","2021→2022
（回復期）","2019→2022
（累計）"
住宅系,0.0,0.0,0.0,0.0,0.0
商業系,1.282,1.754,0.0,0.0,2.0
工業系,0.0,0.0,0.0,0.0,1.923
